ID,contents,Required_BW,Source,Destinations
412,9,54,9,10;0
413,3,80,4,10;5
414,9,67,9,10;0
415,12,57,4,1;0
416,9,51,9,10;0
417,3,58,4,10;5
418,1,80,0,1;5
419,1,57,0,1;5
420,14,56,0,5;7
421,9,80,9,10;0
422,9,59,9,10;0
423,3,57,4,10;5
424,12,76,4,1;0
425,12,57,4,1;0
426,1,63,0,1;5
427,9,61,9,10;0
428,3,76,4,10;5
429,12,56,4,1;0
430,3,66,4,10;5
431,1,64,0,1;5
432,12,56,4,1;0
433,12,65,4,1;0
434,9,63,9,10;0
435,12,50,4,1;0
436,6,63,9,1;4
437,3,67,4,10;5
438,12,50,4,1;0
439,6,80,9,1;4
440,14,59,0,5;7
441,6,61,9,1;4
442,1,56,0,1;5
443,14,64,0,5;7
444,12,60,4,1;0
445,1,80,0,1;5
446,1,55,0,1;5
447,14,62,0,5;7
448,12,60,4,1;0
449,12,52,4,1;0
450,9,69,9,10;0
451,9,77,9,10;0
452,3,69,4,10;5
453,3,78,4,10;5
454,12,69,4,1;0
455,3,76,4,10;5
456,14,77,0,5;7
457,14,73,0,5;7
458,12,50,4,1;0
459,12,64,4,1;0
460,6,60,9,1;4
461,14,52,0,5;7
462,12,67,4,1;0
463,1,76,0,1;5
464,3,58,4,10;5
465,3,51,4,10;5
466,6,69,9,1;4
467,1,73,0,1;5
468,9,69,9,10;0
469,6,55,9,1;4
470,6,51,9,1;4
471,12,60,4,1;0
472,1,56,0,1;5
473,9,64,9,10;0
474,1,72,0,1;5
475,9,80,9,10;0
476,3,50,4,10;5
477,6,69,9,1;4
478,9,77,9,10;0
479,14,68,0,5;7
480,1,58,0,1;5
481,1,55,0,1;5
482,12,64,4,1;0
483,14,59,0,5;7
484,6,63,9,1;4
485,9,78,9,10;0
486,1,54,0,1;5
487,6,73,9,1;4
488,9,79,9,10;0
489,1,61,0,1;5
490,9,67,9,10;0
491,14,67,0,5;7
492,6,68,9,1;4
493,12,53,4,1;0
494,6,74,9,1;4
495,3,58,4,10;5
496,14,55,0,5;7
497,12,56,4,1;0
498,14,62,0,5;7
499,12,58,4,1;0
500,12,65,4,1;0
501,9,50,9,10;0
502,1,68,0,1;5
503,6,59,9,1;4
504,3,54,4,10;5
505,14,56,0,5;7
506,14,72,0,5;7
507,6,67,9,1;4
508,12,69,4,1;0
509,1,79,0,1;5
510,9,71,9,10;0
511,1,66,0,1;5
512,6,79,9,1;4
513,9,61,9,10;0
514,3,56,4,10;5
515,3,61,4,10;5
516,12,80,4,1;0
517,9,57,9,10;0
518,3,64,4,10;5
519,9,80,9,10;0
520,9,69,9,10;0
521,6,54,9,1;4
522,3,60,4,10;5
523,14,80,0,5;7
524,9,64,9,10;0
525,1,74,0,1;5
526,1,74,0,1;5
527,1,80,0,1;5
528,12,72,4,1;0
529,14,53,0,5;7
530,6,61,9,1;4
531,3,58,4,10;5
532,6,70,9,1;4
533,1,57,0,1;5
534,14,53,0,5;7
535,1,67,0,1;5
536,3,70,4,10;5
537,12,53,4,1;0
538,1,77,0,1;5
539,6,61,9,1;4
540,3,71,4,10;5
541,6,78,9,1;4
542,12,50,4,1;0
543,6,62,9,1;4
544,6,54,9,1;4
545,1,69,0,1;5
546,9,55,9,10;0
547,1,62,0,1;5
548,1,77,0,1;5
549,3,78,4,10;5
550,6,55,9,1;4
551,3,69,4,10;5
552,14,65,0,5;7
553,14,62,0,5;7
554,3,72,4,10;5
555,9,75,9,10;0
556,1,60,0,1;5
557,1,75,0,1;5
558,14,77,0,5;7
559,9,63,9,10;0
560,12,67,4,1;0
561,6,53,9,1;4
562,12,72,4,1;0
563,1,64,0,1;5
564,12,71,4,1;0
565,14,52,0,5;7
566,1,78,0,1;5
567,1,58,0,1;5
568,9,56,9,10;0
569,1,60,0,1;5
570,3,63,4,10;5
571,6,50,9,1;4
572,1,79,0,1;5
573,1,54,0,1;5
574,6,54,9,1;4
575,1,63,0,1;5
576,6,62,9,1;4
577,6,65,9,1;4
578,12,72,4,1;0
579,12,55,4,1;0
580,12,76,4,1;0
581,12,74,4,1;0
582,12,50,4,1;0
583,14,62,0,5;7
584,12,54,4,1;0
585,6,72,9,1;4
586,9,59,9,10;0
587,1,73,0,1;5
588,12,79,4,1;0
589,14,74,0,5;7
590,6,70,9,1;4
591,12,77,4,1;0
592,3,80,4,10;5
593,1,78,0,1;5
594,14,80,0,5;7
595,14,55,0,5;7
596,1,55,0,1;5
597,3,78,4,10;5
598,12,75,4,1;0
599,3,76,4,10;5
600,1,73,0,1;5
601,9,58,9,10;0
602,1,71,0,1;5
603,1,54,0,1;5
604,12,63,4,1;0
605,3,75,4,10;5
606,14,70,0,5;7
607,1,74,0,1;5
608,6,68,9,1;4
609,14,73,0,5;7
610,9,65,9,10;0
611,1,76,0,1;5
612,6,74,9,1;4
613,14,55,0,5;7
614,6,58,9,1;4
615,1,58,0,1;5
616,1,66,0,1;5
617,12,80,4,1;0
618,12,80,4,1;0
619,9,78,9,10;0
620,3,50,4,10;5
621,12,51,4,1;0
622,3,54,4,10;5
623,1,59,0,1;5
624,3,52,4,10;5
625,6,74,9,1;4
626,1,68,0,1;5
627,9,53,9,10;0
628,1,61,0,1;5
629,6,57,9,1;4
630,6,55,9,1;4
631,12,72,4,1;0
632,12,59,4,1;0
633,12,76,4,1;0
634,1,71,0,1;5
635,6,75,9,1;4
636,12,67,4,1;0
637,1,65,0,1;5
638,1,78,0,1;5
639,12,69,4,1;0
640,6,71,9,1;4
641,6,80,9,1;4
642,12,79,4,1;0
643,14,75,0,5;7
644,1,57,0,1;5
645,3,79,4,10;5
646,3,72,4,10;5
647,9,57,9,10;0
648,14,72,0,5;7
649,12,51,4,1;0
650,6,53,9,1;4
651,9,64,9,10;0
652,1,57,0,1;5
653,12,74,4,1;0
654,3,63,4,10;5
655,14,80,0,5;7
656,1,51,0,1;5
657,12,66,4,1;0
658,6,50,9,1;4
659,3,51,4,10;5
660,6,59,9,1;4
661,3,52,4,10;5
662,9,56,9,10;0
663,3,58,4,10;5
664,1,65,0,1;5
665,6,66,9,1;4
666,14,52,0,5;7
667,14,67,0,5;7
668,3,66,4,10;5
669,9,66,9,10;0
670,14,68,0,5;7
671,14,76,0,5;7
672,14,63,0,5;7
673,9,80,9,10;0
674,3,64,4,10;5
675,3,57,4,10;5
676,1,67,0,1;5
677,12,56,4,1;0
678,14,66,0,5;7
679,6,69,9,1;4
680,3,78,4,10;5
681,14,50,0,5;7
682,9,72,9,10;0
683,6,80,9,1;4
684,12,50,4,1;0
685,9,65,9,10;0
686,6,68,9,1;4
687,14,66,0,5;7
688,14,79,0,5;7
689,3,71,4,10;5
690,1,69,0,1;5
691,12,74,4,1;0
692,1,63,0,1;5
693,6,72,9,1;4
694,1,52,0,1;5
695,12,58,4,1;0
696,3,54,4,10;5
697,6,79,9,1;4
698,9,56,9,10;0
699,1,54,0,1;5
700,3,68,4,10;5
701,6,53,9,1;4
702,12,80,4,1;0
703,6,72,9,1;4
704,6,50,9,1;4
705,1,56,0,1;5
706,3,78,4,10;5
707,12,78,4,1;0
708,6,66,9,1;4
709,6,64,9,1;4
710,6,76,9,1;4
711,1,69,0,1;5
712,9,51,9,10;0
713,14,56,0,5;7
714,6,66,9,1;4
715,3,71,4,10;5
716,14,68,0,5;7
717,3,61,4,10;5
718,12,52,4,1;0
719,9,52,9,10;0
720,14,74,0,5;7
721,14,57,0,5;7
722,6,69,9,1;4
723,12,73,4,1;0
724,12,80,4,1;0
725,14,64,0,5;7
726,3,72,4,10;5
727,3,78,4,10;5
728,6,50,9,1;4
729,3,74,4,10;5
730,1,57,0,1;5
731,14,67,0,5;7
732,14,70,0,5;7
733,3,78,4,10;5
734,9,63,9,10;0
735,9,65,9,10;0
736,9,73,9,10;0
737,1,50,0,1;5
738,3,55,4,10;5
739,6,75,9,1;4
740,3,63,4,10;5
741,12,53,4,1;0
742,14,68,0,5;7
743,6,60,9,1;4
744,12,50,4,1;0
745,6,71,9,1;4
746,6,79,9,1;4
747,14,67,0,5;7
748,3,79,4,10;5
749,14,60,0,5;7
750,12,67,4,1;0
751,1,78,0,1;5
752,6,72,9,1;4
753,1,67,0,1;5
754,9,70,9,10;0
755,6,65,9,1;4
756,1,72,0,1;5
757,12,62,4,1;0
758,6,69,9,1;4
759,3,56,4,10;5
760,9,51,9,10;0
761,1,66,0,1;5
762,6,79,9,1;4
763,12,60,4,1;0
764,6,57,9,1;4
765,14,58,0,5;7
766,14,58,0,5;7
767,3,70,4,10;5
768,9,78,9,10;0
769,14,58,0,5;7
770,6,67,9,1;4
771,3,56,4,10;5
772,14,65,0,5;7
773,3,50,4,10;5
774,9,72,9,10;0
775,12,58,4,1;0
776,1,62,0,1;5
777,6,69,9,1;4
778,6,67,9,1;4
779,9,66,9,10;0
780,14,60,0,5;7
781,14,58,0,5;7
782,1,74,0,1;5
783,6,65,9,1;4
784,9,66,9,10;0
785,1,52,0,1;5
786,14,75,0,5;7
787,14,51,0,5;7
788,3,54,4,10;5
789,9,79,9,10;0
790,6,71,9,1;4
791,6,57,9,1;4
792,14,79,0,5;7
793,9,74,9,10;0
794,3,50,4,10;5
795,6,56,9,1;4
796,6,72,9,1;4
797,1,63,0,1;5
798,9,55,9,10;0
799,6,69,9,1;4
800,9,69,9,10;0
801,14,79,0,5;7
802,12,62,4,1;0
803,14,74,0,5;7
804,12,79,4,1;0
805,3,54,4,10;5
806,6,55,9,1;4
807,12,76,4,1;0
808,9,70,9,10;0
809,14,50,0,5;7
810,12,76,4,1;0
811,9,54,9,10;0
812,14,63,0,5;7
813,6,57,9,1;4
814,14,56,0,5;7
815,6,71,9,1;4
816,1,61,0,1;5
817,14,61,0,5;7
818,1,68,0,1;5
819,12,62,4,1;0
820,14,54,0,5;7
821,9,64,9,10;0
822,12,64,4,1;0
823,9,67,9,10;0
824,3,61,4,10;5
825,6,73,9,1;4
826,3,80,4,10;5
827,12,78,4,1;0
828,1,68,0,1;5
829,6,61,9,1;4
830,14,74,0,5;7
831,14,54,0,5;7
832,6,57,9,1;4
833,1,63,0,1;5
834,3,70,4,10;5
835,3,72,4,10;5
836,14,80,0,5;7
837,12,61,4,1;0
838,1,57,0,1;5
839,9,72,9,10;0
840,6,70,9,1;4
841,3,56,4,10;5
842,14,62,0,5;7
843,3,59,4,10;5
844,12,56,4,1;0
845,12,59,4,1;0
846,14,54,0,5;7
847,14,51,0,5;7
848,3,68,4,10;5
849,12,50,4,1;0
850,12,77,4,1;0
851,9,69,9,10;0
852,6,56,9,1;4
853,1,69,0,1;5
854,3,59,4,10;5
855,12,54,4,1;0
856,12,57,4,1;0
857,14,72,0,5;7
858,6,69,9,1;4
859,6,51,9,1;4
860,1,75,0,1;5
861,12,73,4,1;0
862,3,78,4,10;5
863,1,72,0,1;5
864,6,79,9,1;4
865,3,67,4,10;5
866,9,52,9,10;0
867,6,53,9,1;4
868,9,72,9,10;0
869,3,74,4,10;5
870,1,60,0,1;5
871,6,59,9,1;4
872,6,58,9,1;4
873,9,67,9,10;0
874,14,64,0,5;7
875,9,51,9,10;0
876,14,50,0,5;7
877,9,56,9,10;0
878,3,64,4,10;5
879,6,71,9,1;4
880,6,62,9,1;4
881,9,69,9,10;0
882,3,51,4,10;5
883,9,77,9,10;0
884,12,58,4,1;0
885,9,50,9,10;0
886,3,50,4,10;5
887,6,69,9,1;4
888,9,77,9,10;0
889,3,51,4,10;5
890,6,65,9,1;4
891,6,59,9,1;4
892,3,54,4,10;5
893,1,65,0,1;5
894,9,58,9,10;0
895,12,54,4,1;0
896,12,56,4,1;0
897,9,77,9,10;0
898,6,64,9,1;4
899,14,68,0,5;7
900,3,53,4,10;5
901,12,57,4,1;0
902,14,56,0,5;7
903,12,77,4,1;0
904,3,74,4,10;5
905,3,63,4,10;5
906,9,71,9,10;0
907,1,57,0,1;5
908,12,53,4,1;0
909,14,71,0,5;7
910,9,70,9,10;0
911,3,80,4,10;5
912,1,63,0,1;5
913,14,60,0,5;7
914,14,76,0,5;7
915,12,73,4,1;0
916,1,79,0,1;5
917,14,70,0,5;7
918,12,75,4,1;0
919,6,56,9,1;4
920,12,60,4,1;0
921,3,57,4,10;5
922,1,53,0,1;5
923,12,52,4,1;0
924,6,68,9,1;4
925,1,75,0,1;5
926,12,71,4,1;0
927,1,79,0,1;5
928,12,67,4,1;0
929,12,76,4,1;0
930,3,75,4,10;5
931,3,74,4,10;5
932,1,63,0,1;5
933,12,61,4,1;0
934,1,60,0,1;5
935,1,68,0,1;5
936,14,80,0,5;7
937,1,77,0,1;5
938,3,61,4,10;5
939,6,71,9,1;4
940,14,68,0,5;7
941,1,77,0,1;5
942,3,60,4,10;5
943,9,58,9,10;0
944,14,50,0,5;7
945,14,80,0,5;7
946,9,76,9,10;0
947,6,59,9,1;4
948,14,69,0,5;7
949,14,65,0,5;7
950,3,52,4,10;5
951,14,65,0,5;7
952,9,56,9,10;0
953,3,51,4,10;5
954,6,70,9,1;4
955,9,69,9,10;0
956,1,79,0,1;5
957,1,75,0,1;5
958,1,64,0,1;5
959,1,80,0,1;5
960,9,54,9,10;0
961,6,56,9,1;4
962,3,75,4,10;5
963,14,59,0,5;7
964,14,57,0,5;7
965,9,78,9,10;0
966,6,70,9,1;4
967,1,80,0,1;5
968,9,63,9,10;0
969,3,70,4,10;5
970,3,63,4,10;5
971,12,52,4,1;0
972,14,69,0,5;7
973,9,50,9,10;0
974,9,79,9,10;0
975,6,56,9,1;4
976,12,69,4,1;0
977,3,62,4,10;5
978,12,62,4,1;0
979,6,73,9,1;4
980,14,51,0,5;7
981,9,78,9,10;0
982,1,50,0,1;5
983,9,79,9,10;0
984,9,68,9,10;0
985,6,52,9,1;4
986,1,67,0,1;5
987,12,80,4,1;0
988,3,74,4,10;5
989,14,78,0,5;7
990,3,77,4,10;5
991,6,74,9,1;4
992,3,79,4,10;5
993,1,71,0,1;5
994,6,75,9,1;4
995,6,73,9,1;4
996,12,50,4,1;0
997,9,63,9,10;0
998,9,78,9,10;0
999,3,50,4,10;5
1000,14,52,0,5;7
1001,6,63,9,1;4
1002,1,66,0,1;5
1003,14,79,0,5;7
1004,1,71,0,1;5
1005,9,59,9,10;0
1006,14,69,0,5;7
1007,14,74,0,5;7
1008,1,79,0,1;5
1009,14,70,0,5;7
1010,1,77,0,1;5
1011,12,58,4,1;0
1012,9,70,9,10;0
1013,6,54,9,1;4
1014,14,63,0,5;7
1015,6,71,9,1;4
1016,9,79,9,10;0
1017,6,58,9,1;4
1018,1,62,0,1;5
1019,3,78,4,10;5
1020,1,56,0,1;5
1021,9,74,9,10;0
1022,9,74,9,10;0
1023,3,65,4,10;5
1024,6,52,9,1;4
1025,6,59,9,1;4
1026,3,76,4,10;5
1027,12,62,4,1;0
1028,12,74,4,1;0
1029,14,71,0,5;7
1030,9,51,9,10;0
1031,1,80,0,1;5
1032,6,72,9,1;4
1033,6,61,9,1;4
1034,14,58,0,5;7
1035,14,65,0,5;7
1036,9,80,9,10;0
1037,6,65,9,1;4
1038,3,57,4,10;5
1039,6,79,9,1;4
1040,1,65,0,1;5
1041,3,51,4,10;5
1042,12,73,4,1;0
1043,12,76,4,1;0
1044,3,50,4,10;5
1045,12,52,4,1;0
1046,1,70,0,1;5
1047,14,57,0,5;7
1048,14,69,0,5;7
1049,9,77,9,10;0
1050,1,58,0,1;5
1051,9,66,9,10;0
1052,1,60,0,1;5
1053,12,74,4,1;0
1054,12,75,4,1;0
1055,1,72,0,1;5
1056,12,77,4,1;0
1057,3,80,4,10;5
1058,12,54,4,1;0
1059,1,54,0,1;5
1060,12,50,4,1;0
1061,3,61,4,10;5
1062,9,51,9,10;0
1063,9,54,9,10;0
1064,9,70,9,10;0
1065,6,60,9,1;4
1066,1,60,0,1;5
1067,9,75,9,10;0
1068,1,62,0,1;5
1069,12,77,4,1;0
1070,1,77,0,1;5
1071,12,77,4,1;0
1072,3,53,4,10;5
1073,12,78,4,1;0
1074,3,56,4,10;5
1075,9,57,9,10;0
1076,1,59,0,1;5
1077,6,78,9,1;4
1078,9,61,9,10;0
1079,1,54,0,1;5
1080,3,56,4,10;5
1081,9,80,9,10;0
1082,9,68,9,10;0
1083,14,70,0,5;7
1084,14,69,0,5;7
1085,3,50,4,10;5
1086,1,50,0,1;5
1087,3,50,4,10;5
1088,3,60,4,10;5
1089,9,80,9,10;0
1090,12,62,4,1;0
1091,1,80,0,1;5
1092,9,62,9,10;0
1093,9,68,9,10;0
1094,3,75,4,10;5
1095,12,67,4,1;0
1096,6,63,9,1;4
1097,3,71,4,10;5
1098,1,62,0,1;5
1099,14,69,0,5;7
1100,6,67,9,1;4
1101,3,55,4,10;5
1102,12,62,4,1;0
1103,1,74,0,1;5
1104,9,52,9,10;0
1105,3,56,4,10;5
1106,12,50,4,1;0
1107,14,78,0,5;7
1108,3,57,4,10;5
1109,14,52,0,5;7
1110,6,64,9,1;4
1111,12,56,4,1;0
1112,3,57,4,10;5
1113,3,75,4,10;5
1114,3,69,4,10;5
1115,14,77,0,5;7
1116,3,73,4,10;5
1117,12,54,4,1;0
1118,6,60,9,1;4
1119,9,68,9,10;0
1120,14,53,0,5;7
1121,6,76,9,1;4
1122,12,71,4,1;0
1123,6,63,9,1;4
1124,12,74,4,1;0
1125,9,53,9,10;0
1126,9,73,9,10;0
1127,9,76,9,10;0
1128,3,56,4,10;5
1129,14,67,0,5;7
1130,6,58,9,1;4
1131,6,80,9,1;4
1132,6,70,9,1;4
1133,3,56,4,10;5
1134,12,59,4,1;0
1135,12,76,4,1;0
1136,3,78,4,10;5
1137,12,67,4,1;0
1138,6,58,9,1;4
1139,12,77,4,1;0
1140,1,77,0,1;5
1141,1,73,0,1;5
1142,12,76,4,1;0
1143,1,79,0,1;5
1144,14,76,0,5;7
1145,9,54,9,10;0
1146,9,63,9,10;0
1147,9,59,9,10;0
1148,3,63,4,10;5
1149,1,67,0,1;5
